"season","week","team","SIC"
2022,1,"LA",93.2
2022,1,"ATL",92.4
2022,1,"DET",86.1
2022,1,"WAS",88.7
2022,1,"NYJ",87.3
2022,1,"CIN",92.8
2022,1,"MIA",91.3
2022,1,"CHI",88.1
2022,1,"HOU",88.4
2022,1,"CAR",93.7
2022,1,"LAC",93.2
2022,1,"TEN",89.6
2022,1,"ARI",87.4
2022,1,"MIN",93.2
2022,1,"DAL",90.3
2022,1,"SEA",89.7
2022,2,"KC",93
2022,2,"BAL",79.2
2022,2,"NO",86.9
2022,2,"DET",82.8
2022,2,"NYG",82.7
2022,2,"CLE",89.5
2022,2,"JAX",91.5
2022,2,"PIT",84.6
2022,2,"SF",88.5
2022,2,"LA",89.2
2022,2,"DEN",89.5
2022,2,"LV",86.6
2022,2,"DAL",80
2022,2,"GB",87.3
2022,2,"BUF",85.9
2022,2,"PHI",91.8
2022,3,"CLE",88.6
2022,3,"CHI",84.4
2022,3,"MIA",86.5
2022,3,"WAS",84.9
2022,3,"IND",91.1
2022,3,"CAR",93.3
2022,3,"NE",90.6
2022,3,"MIN",91
2022,3,"NYJ",85.8
2022,3,"TEN",84.9
2022,3,"LAC",90
2022,3,"ARI",86.8
2022,3,"SEA",87.5
2022,3,"TB",80.9
2022,3,"DEN",84.4
2022,3,"NYG",82.7
2022,4,"CIN",89.1
2022,4,"NO",81.9
2022,4,"NYG",86.9
2022,4,"ATL",90.9
2022,4,"IND",90.4
2022,4,"DAL",84.3
2022,4,"PHI",89.2
2022,4,"DET",79.7
2022,4,"BAL",72.4
2022,4,"HOU",88
2022,4,"PIT",83.4
2022,4,"CAR",86.4
2022,4,"GB",89.3
2022,4,"LV",86.2
2022,4,"TB",82.4
2022,4,"SF",83.5
2022,5,"DEN",79.2
2022,5,"GB",88.9
2022,5,"NO",86.7
2022,5,"CLE",79.1
2022,5,"WAS",82.3
2022,5,"TB",82.6
2022,5,"JAX",90.8
2022,5,"MIN",91.6
2022,5,"NE",86
2022,5,"NYJ",82.6
2022,5,"BUF",81.6
2022,5,"CAR",88.1
2022,5,"LA",85
2022,5,"ARI",86.3
2022,5,"BAL",73.1
2022,5,"KC",90.4
2022,6,"CHI",88
2022,6,"MIA",78.5
2022,6,"IND",79.6
2022,6,"ATL",84.9
2022,6,"NYG",81.8
2022,6,"CLE",85.1
2022,6,"NO",84.4
2022,6,"PIT",81
2022,6,"GB",88.7
2022,6,"LA",81.5
2022,6,"SEA",82.9
2022,6,"KC",89.6
2022,6,"PHI",90.1
2022,6,"LAC",85.8
2022,7,"ARI",81.2
2022,7,"TEN",80.7
2022,7,"JAX",87
2022,7,"CIN",88.4
2022,7,"CAR",79.8
2022,7,"DAL",88.8
2022,7,"BAL",72.6
2022,7,"WAS",80.8
2022,7,"DEN",67.6
2022,7,"LV",86.7
2022,7,"SF",73.5
2022,7,"LAC",85.5
2022,7,"MIA",82.8
2022,7,"NE",87.9
2022,8,"TB",82.1
2022,8,"JAX",90.9
2022,8,"DAL",85.7
2022,8,"MIN",92.7
2022,8,"PHI",91.2
2022,8,"ATL",78.6
2022,8,"NO",85.1
2022,8,"DET",81
2022,8,"NYJ",85.5
2022,8,"HOU",84.4
2022,8,"LA",81.2
2022,8,"IND",86.1
2022,8,"SEA",83.8
2022,8,"BUF",88.3
2022,8,"CLE",82.7
2022,9,"HOU",80.7
2022,9,"ATL",83.9
2022,9,"NE",87.5
2022,9,"WAS",77.7
2022,9,"CIN",85.5
2022,9,"JAX",91.2
2022,9,"CHI",85.6
2022,9,"NYJ",85.9
2022,9,"DET",79.9
2022,9,"ARI",79.9
2022,9,"TB",85
2022,9,"KC",90.1
2022,9,"NO",84.2
2022,10,"CAR",88.5
2022,10,"TB",84.9
2022,10,"TEN",80.9
2022,10,"BUF",77.3
2022,10,"MIA",84.4
2022,10,"NYG",81.8
2022,10,"KC",90.2
2022,10,"PIT",89.6
2022,10,"CHI",80.7
2022,10,"GB",80
2022,10,"LV",86.6
2022,10,"LA",78
2022,10,"SF",78.6
2022,10,"PHI",90.5
2022,11,"GB",79.3
2022,11,"BAL",75
2022,11,"ATL",88.2
2022,11,"BUF",83.5
2022,11,"NO",78.8
2022,11,"IND",90
2022,11,"HOU",82.4
2022,11,"NE",90.3
2022,11,"DEN",69.7
2022,11,"MIN",90
2022,11,"PIT",90.8
2022,11,"LAC",74.9
2022,11,"NYG",81
2022,11,"ARI",74.8
2022,12,"DET",80.6
2022,12,"DAL",87.8
2022,12,"MIN",87.4
2022,12,"TEN",81.9
2022,12,"JAX",91.4
2022,12,"CAR",89.3
2022,12,"CLE",82.9
2022,12,"NYJ",83.5
2022,12,"WAS",81.2
2022,12,"MIA",84.1
2022,12,"SEA",88.6
2022,12,"ARI",77.4
2022,12,"KC",90
2022,12,"SF",84.6
2022,12,"PHI",90.1
2022,12,"IND",90
2022,13,"NE",87.6
2022,13,"BAL",80.1
2022,13,"MIN",86.8
2022,13,"HOU",82.3
2022,13,"ATL",86.7
2022,13,"PHI",90.2
2022,13,"DET",82.4
2022,13,"CHI",78.5
2022,13,"NYG",75.5
2022,13,"SF",82.2
2022,13,"LA",69.4
2022,13,"LV",85
2022,13,"CIN",87.7
2022,13,"DAL",88.2
2022,13,"TB",81.4
2022,14,"LA",68.6
2022,14,"PIT",91
2022,14,"NYG",79.6
2022,14,"TEN",73.8
2022,14,"BUF",84.8
2022,14,"DET",85.1
2022,14,"CIN",90
2022,14,"DAL",87.1
2022,14,"DEN",66.5
2022,14,"SF",83.5
2022,14,"SEA",85.6
2022,14,"LAC",71.5
2022,14,"ARI",78.4
2022,15,"SEA",85.8
2022,15,"MIN",88.3
2022,15,"CLE",84.3
2022,15,"BUF",85.2
2022,15,"JAX",89.2
2022,15,"CHI",86.2
2022,15,"NO",84.1
2022,15,"NYJ",83.4
2022,15,"DEN",64.1
2022,15,"LV",85.8
2022,15,"TB",82.3
2022,15,"LAC",89.2
2022,15,"WAS",81.6
2022,15,"HOU",74.2
2022,15,"CAR",90.8
2022,15,"LA",69.5
2022,16,"NYJ",84.7
2022,16,"NE",87.3
2022,16,"TEN",63.6
2022,16,"BAL",77.8
2022,16,"CLE",82.4
2022,16,"KC",91.4
2022,16,"CHI",82.7
2022,16,"MIN",88.3
